Date,Member,Company,Project,Location,Department,Service #,Hours,Notes,Billable
12/07/2023 00:00,JoePacker,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,940077,0.05,This device is offline will check back later.  [image] ,Billable
12/07/2023 00:00,LFeingold,Wilbury Stratton Consultants Ltd,,Trident Head Office,Business Operations,940173,0.08,checked invoiced and routed,Non-Billable
12/07/2023 00:00,DChambers,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,939511,0.05," [image] device is off, but needs further work ",Billable
12/07/2023 00:00,DChambers,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,939511,0.2,"attempted the latest fix for tamper protection. wouldn't work, the laptop hasn't been restarted in 4 days.  turned hiberate off, if the user has not restarted by tomorrow I will prompt them to restart.  ",Billable
11/07/2023 00:00,DChambers,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,939511,0.02," [image] EDR update, needs restart.  Will contact primary contact to get  the users restarted.   ",Billable
11/07/2023 00:00,DChambers,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,939511,0.1,got part way through typing an email to get the user to restart when the device switched off ,Billable
11/07/2023 00:00,Amiru,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,939183,0.02,"Checked into device:  [image]  Issue has auto resolved, clear to close ticket.",Billable
10/07/2023 00:00,MHannagan,Wilbury Stratton Consultants Ltd,Continuous Development Programme,Trident Head Office,Technical,930826,2.83,,Billable
04/07/2023 00:00,RCustodio,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,935726,0.03,Still offline. I will close this alert for now  [image] ,Billable
03/07/2023 00:00,RCustodio,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,935726,0.02,Offline  [image] ,Billable
03/07/2023 00:00,CHamlin,Wilbury Stratton Consultants Ltd,Continuous Development Programme,Trident Head Office,Technical,869882,0.07,Please can you schedule Anthony 2 days remote in September . Thank you. ,Billable
30/06/2023 00:00,JBrito,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,880875,0.02,Agreed with Junior we will start deploying patch management when I am back from annual leave and let Dan/Kacie know when this is on,Billable
30/06/2023 00:00,RCustodio,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,935726,0.2,I followed the installation from ITGlue. I will check again on Monday,Billable
23/06/2023 00:00,JBrito,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,880875,0.02,No replies back from Kacie or Dan Waiting on Euan or Jnr to advise,Billable
15/06/2023 00:00,Jpession,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,928565,0.05,"Hi All,  Thanks for confirming this is being handled internally. We are going to close the case on our end.  Please let us know if we can assist in anyway.   Many Thanks Joel",Billable
14/06/2023 00:00,Amiru,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,928186,0.12,Alert has resolved itself: [image] Clear to close ticket.,Billable
12/06/2023 00:00,DChambers,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,924769,0.03,"Hi Nick,  Yes that's great. When you are ready, give us a call on:   01273 662777, Option 2 - ask for Daniel.   Kind regards,   ",Billable
12/06/2023 00:00,DChambers,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,924769,2.2,"we had to get the user logged in on a personal account, as they had purchased a laptop with a win11 home subscription instead of a win11 pro subscription, this also took some time to troubleshoot.   the user also had to take calls during the process and this slowed the process.   the user had to leave to speak to their colleagues regarding a product key for win11 pro, which the user eventually got and applied.   windows upgraded, and we were able to get the user joined onto the AD domain.   following a restart we set up files and sharepoint access in file explorer.  throughout the process we had to wait for various things to setup and install, this took a reasonable amount of time but still extended the process longer than initially expected.   the user also experienced an issue with onedrive which we fixed with a restart.  ",Billable
12/06/2023 00:00,DChambers,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,924769,0.22,solved a onedrive sync issue. ,Billable
12/06/2023 00:00,DChambers,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,924769,0.13,"Hi Nick,  Its great we could get you set up this morning (/evening!) it looks like a great new laptop.  Thank you for your patience, I appreciate that the switching process took slightly longer than expected.  If you need any further assistance please don't hesitate to let us know.   Kind regards, ",Billable
09/06/2023 00:00,JNRPacker,Wilbury Stratton Consultants Ltd,Continuous Development Programme,Trident Head Office,Technical,876698,0.75,Chasing DC for update on MPS tasks for JB Updating Project Plan ,Billable
08/06/2023 00:00,DChambers,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,924769,0.23,"device can be set up remotely. will schedule for Monday morning, will require some user input.  get the user to get a generic account set up install standalone take control.   then I can install everything from there.   user shouldn't need a Microsoft account.   move all the files over with one drive etc.   ",Billable
08/06/2023 00:00,DChambers,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,924769,0.12,"Hi Nick,  Yes absolutely, what time would be best for you? I am in the office from 9AM.   It will take me approximately 1.5 - 2 hours to set up remotely, but I will only need your input for 10-20 minutes at the start for initial setup, occasionally for you to enter your credentials, and choose what you need brought over from your old device.   Any other questions please let me know.  Kind regards, Daniel",Billable
06/06/2023 00:00,DChambers,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,924769,0.17,"Spoken to Adam re this ticket, also speaking to Jamie to get a clear picture so I know what to do immediately when the users device arrives. ",Billable
05/06/2023 00:00,JBrito,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,880875,0.2,Emailed Dan and Kacie about patch management and getting this started,Billable
05/06/2023 00:00,DChambers,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,924769,0.12,"Hi Nick,   When would be best to schedule this?   Alternatively, just give us a call when convenient,  Call:  01273 662777, Option 2 - ask for Daniel  Kind regards, Daniel   ",Billable
05/06/2023 00:00,DChambers,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,924769,0.13,"Hi Nick,   Yes that looks good, 16GB is plenty.   Let me know when you would like to move your old files over.   Kind regards, Daniel ",Billable
05/06/2023 00:00,RPerrin,Wilbury Stratton Consultants Ltd,Continuous Development Programme,Trident Head Office,Technical,869879,1.75,"Currently do not have web domain hosting details - phoned, left a voicemail and sent a follow up email to Dan @ Wilbury.   wscl.com is domain in question, this is currently pointing to Mimecast which then filters and then passes mail to M365.   I have configured security policies ready on M365 Defender - waiting for response from Dan.   I will phone their previous IT provider (Carden IT) although I suspect I will be asked for approval from Dan. ",Billable
05/06/2023 00:00,RPerrin,Wilbury Stratton Consultants Ltd,Continuous Development Programme,Trident Head Office,Technical,869879,1.17,"Currently do not have web domain hosting details - phoned, left a voicemail and sent a follow up email to Dan @ Wilbury.  wscl.com is domain in question, this is currently pointing to Mimecast which then filters and then passes mail to M365.  I have configured security policies ready on M365 Defender - waiting for response from Dan.  I will phone their previous IT provider (Carden IT) although I suspect I will be asked for approval from Dan.",Billable
05/06/2023 00:00,RPerrin,Wilbury Stratton Consultants Ltd,Continuous Development Programme,Trident Head Office,Technical,869879,1.75,Adjusted policies in response to Kacie's email (Attached)  Checked over quarantine and users have been releasing OK.  Waiting on Dan's response before we proceed further. ,Billable
05/06/2023 00:00,JNRPacker,Wilbury Stratton Consultants Ltd,Continuous Development Programme,Trident Head Office,Technical,876698,0.5,Chat with Ryan about works for the day. ,Billable
01/06/2023 00:00,MAustin,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,880756,0.15,bm instructions to continue work ,Billable
01/06/2023 00:00,MAustin,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,880756,1.3,bm advised to continue work completed MV attached here   ,Billable
24/05/2023 00:00,MAversano,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,895916,0.03,"Great to hear, Sneha! I'll go ahead and close this off - hope you enjoy the rest of your day.  All the best, Morgan",Billable
19/05/2023 00:00,JMorgan,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,918202,0.28,"Darren Called in. I looked at this for him, one drive was corrupted so I tried unlinking the account however this didn't work. so I uninstalled one drive and re-installed a fresh install. I then got him signed back, it was using the correct folder instead of skipping over and making a new Darren folder i.e Darren (1) I then sync the sharepoint site, and then found his folder under Research > Personal > Darren. Client is happy to close off the ticket.  on call res.",Billable
17/05/2023 00:00,AForster,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,905181,0.05,"Hello Zoe,  I tried to call you but I couldn't reach you. Has there been any further issues with receiving emails from external contacts? Let me know by calling us and asking for me, Alex or replying to this email.  Many Thanks, Alex Forster",Billable
17/05/2023 00:00,AForster,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,908003,0.05,I have confirmed that the users were already removed from the Research distribution list.,Billable
16/05/2023 00:00,lsargent,Wilbury Stratton Consultants Ltd,,Trident Head Office,Business Operations,913664,0.05,"Hello,  Further to my additional voicemail, can you please advise of a payment date for the overdue invoice?  Many thanks, Lucy",Non-Billable
16/05/2023 00:00,AForster,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903383,0.03,"Hello Richard,  As we have not had a response from you in regards to this case, we will mark this as completed.  If you still require assistance, please call back referencing this ticket or respond to this email and the case will be reopened.  Many thanks, Alex Forster",Billable
16/05/2023 00:00,AForster,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,908003,0.03,Moving from On Hold (No Hours Remaining) as the client is no longer on support block. It appears that they were forgotten when the support block was removed.,Billable
16/05/2023 00:00,AForster,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,905181,0.02,Moving from On Hold (No Hours Remaining) as the client is no longer on support block. It appears that they were forgotten when the support block was removed.,Billable
16/05/2023 00:00,AForster,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,905181,0.08,"Hello Zoe,  I would call you but I believe that you've gone home for the day. I wanted to check if there has been any further issues with mime cast blocking emails from external contacts such as Susie Turpin at Imperial Brands. Let me know if you still need help with this.  Many Thanks, Alex Forster",Billable
15/05/2023 00:00,JBrito,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,880875,0.02,Jnr has agreed to hold off until 05/06,Billable
15/05/2023 00:00,AForster,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903383,0.05,"Hello Richard,  I tried to call you but I couldn't reach you. Has there been any success with changing the emergency addresses for the phone numbers on the Teams Admin Centre. If any assistance is required, please let me know by calling us and asking for me, Alex or replying to this email.  Many Thanks, Alex Forster",Billable
15/05/2023 00:00,JoePacker,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,911050,0.08,"Good afternoon,  Did you hear back from the provider regarding the link to the test?  Would it be possible to get me contact details for workable so I can get this resolved with them?   With thanks, Joe ",Billable
12/05/2023 00:00,AForster,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,903383,0.08,"Hello Richard,  I tried to call you but I couldn't reach you. I would like to check if you have been successful with editing the emergency addresses for the phone numbers on the Teams Admin Centre. Let me know how it goes by calling us and asking for me, Alex or replying to this email.  Many Thanks, Alex Forster",Billable
12/05/2023 00:00,MAversano,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,895916,0.07,Called main line - was informed that Sneha is OOF until 24th of May.  Scheduling in to contact her again then.  ,Billable
11/05/2023 00:00,MAversano,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,895916,0.07,Calling Sneha on 01273 741300.  Left VM on what I assume to be the general line.,Billable
11/05/2023 00:00,MAversano,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,895916,0.03,"Good morning Sneha,  Just left a voicemail for you - wanted to check in on this and see if you were still experiencing issues with your laptop.  Please let me know if you need any further assistance, or if you have any questions, and I'll be happy to help.  Kind regards, Morgan",Billable
11/05/2023 00:00,JoePacker,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,911050,0.03,"Good afternoon,  I'm just checking if this is something you still need assistance with.   With thanks, Joe",Billable
11/05/2023 00:00,lsargent,Wilbury Stratton Consultants Ltd,,Trident Head Office,Management,913664,0.05,"Hello,  Further to my voicemail, please can you provide a payment date for the overdue invoices?  Regards, Lucy",Non-Billable
10/05/2023 00:00,lsargent,Wilbury Stratton Consultants Ltd,,Trident Head Office,Management,913664,0.02,"Hello,  Can you please advise on the below?  Many thanks, Lucy",Non-Billable
10/05/2023 00:00,JoePacker,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,911050,0.07,"Good afternoon,  Please can you let me know if this is something you still need assistance with.  With thanks, Joe",Billable
10/05/2023 00:00,JNRPacker,Wilbury Stratton Consultants Ltd,Continuous Development Programme,Trident Head Office,Technical,876698,2,Wilbury Project and Admin time - working through creating 3 month RoadMap and 12 month plan - with executive summary.   Prepping for meeting coming up. ,Billable
09/05/2023 00:00,JoePacker,Wilbury Stratton Consultants Ltd,,Trident Head Office,Technical,911951,0.05,"Checking on this the EDR has been resolved, [image] ",Billable
